lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
41.08,28.81,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.84,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.87,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.9,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.93,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.96,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,28.99,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.08,29.02,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.08,29.05,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.08,29.08,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.11,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.14,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.17,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.2,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.23,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.26,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.29,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.32,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.35,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.38,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.41,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.44,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.47,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.5,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.53,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.56,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.08,29.59,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
